id,created_at,day,department_id,description,event_name,event_type,fee,image_url,is_mega_event,is_team_event,japanese_name,overview,status,team_max_size,team_min_size,time,venue,JudgingCriteria,Participant,RegistrationEvent,Round,Rule
137,2026-04-08T07:16:21.388Z,1,21,Individual head-to-head dance battles with changing music genres in a knockout format leading to a Final Showdown.,Dance Battle,Non-Technical,100.00,https://res.cloudinary.com/dwnvl9k9j/image/upload/v1774415730/2.jpg_nn3xcx.jpg,true,false,Ronin Rhythm,Individual head-to-head dance battles with changing music genres in a knockout format leading to a Final Showdown.,OPEN,,,12:30PM - 4:00PM,Badminton Court,,,,,
138,2026-04-08T07:16:21.858Z,2,21,Team-based dance performance event showcasing creativity and versatility in Eastern and Western styles.,Group Dance,Non-Technical,100.00,https://res.cloudinary.com/dwnvl9k9j/image/upload/v1774415730/4.jpg_eynb1h.jpg,true,true,Odori Matsuri,Team-based dance performance event showcasing creativity and versatility in Eastern and Western styles.,OPEN,15,4,11:30AM - 1:30PM,Auditorium,,,,,
139,2026-04-08T07:16:22.176Z,1,21,"Individual personality competition testing aptitude, public speaking and composure under stress.",Mr or Ms Envision,Non-Technical,100.00,https://res.cloudinary.com/dwnvl9k9j/image/upload/v1774415732/6.jpg_e5csnj.jpg,true,false,Mr or Ms Sakura Crown,"Individual personality competition testing aptitude, public speaking and composure under stress.",OPEN,,,1:00PM - 2:00PM,003,,,,,
140,2026-04-08T07:16:22.509Z,1,21,"A multi-round singing competition open to individual participants, evaluating voice quality, expression and style.",Singing,Non-Technical,100.00,https://res.cloudinary.com/dwnvl9k9j/image/upload/v1774415732/8.jpg_vcetxc.jpg,true,false,Samurai Symphony,"A multi-round singing competition open to individual participants, evaluating voice quality, expression and style.",OPEN,,,10:00AM - 12:00PM,Seminar Hall,,,,,
141,2026-04-08T07:16:22.976Z,1,21,Knockout format cricket tournament with 8-player teams and short 2–3 over matches.,Cricket,Non-Technical,100.00,https://res.cloudinary.com/dwnvl9k9j/image/upload/v1774415732/10.jpg_l5wwnq.jpg,true,true,Dojo Dominators,Knockout format cricket tournament with 8-player teams and short 2–3 over matches.,OPEN,8,8,10:00 AM,Ground,,,,,
142,2026-04-08T07:16:23.287Z,2,19,"A team-based competitive investigation event testing teamwork, analytical skills, and adherence to competition guidelines.",Rahasya,Technical,100.00,https://res.cloudinary.com/dwnvl9k9j/image/upload/v1774415734/13.jpg_l1bvny.jpg,false,true,Kage Investigation,"A team-based competitive investigation event testing teamwork, analytical skills, and adherence to competition guidelines.",OPEN,4,3,11:00AM - 12:00 AM,AIML LAB,,,,,
143,2026-04-08T07:16:23.618Z,1,19,A collaborative coding challenge where one participant writes code while the other guides verbally without visual access to the screen.,Blind Coding,Technical,100.00,https://res.cloudinary.com/dwnvl9k9j/image/upload/v1774415734/15.jpg_mrjd9y.jpg,false,true,Kizuna Code,A collaborative coding challenge where one participant writes code while the other guides verbally without visual access to the screen.,OPEN,2,2,2:00PM - 3:00PM,AIDS lab,,,,,
144,2026-04-08T07:16:23.917Z,2,19,A technical coding competition where participants analyse a given output and reconstruct the logic to match it.,Reverse Coding,Technical,100.00,https://res.cloudinary.com/dwnvl9k9j/image/upload/v1774415733/17.jpg_mjezez.jpg,false,true,Shinobi Syntax,A technical coding competition where participants analyse a given output and reconstruct the logic to match it.,OPEN,2,1,9:30AM - 11:00AM,ISE LAB,,,,,
145,2026-04-08T07:16:24.273Z,2,19,A team-based technical treasure hunt where participants solve multi-level challenges by identifying hidden clues within a system and at designated physical locations.,Operation Cipher Chase,Technical,100.00,https://res.cloudinary.com/dwnvl9k9j/image/upload/v1774415734/19.jpg_hep6q3.jpg,false,true,Cipher Shinobi,A team-based technical treasure hunt where participants solve multi-level challenges by identifying hidden clues within a system and at designated physical locations.,OPEN,3,2,10:30AM - 11:30AM,CS LAB,,,,,
146,2026-04-08T07:16:24.741Z,2,19,A creative team-based video production competition where participants create an original promotional video based on a theme revealed during the event.,Mad Ad,Technical,100.00,https://res.cloudinary.com/dwnvl9k9j/image/upload/v1774415738/21.jpg_vskzw0.jpg,false,true,Tokyo Ad Wars,A creative team-based video production competition where participants create an original promotional video based on a theme revealed during the event.,OPEN,4,3,10:30AM - 11:30AM,401,,,,,
147,2026-04-08T07:16:25.204Z,1,19,An autonomous robotics competition where teams design and program a robot to follow a predefined black line track.,Line Follower,Technical,100.00,https://res.cloudinary.com/dwnvl9k9j/image/upload/v1774415740/23.jpg_jb2jiq.jpg,false,true,Shinrai Circuit,An autonomous robotics competition where teams design and program a robot to follow a predefined black line track.,OPEN,4,2,10:00 AM,006,,,,,
148,2026-04-08T07:16:25.522Z,2,19,A team-based technical competition focused on electronics-based questions.,Circuit Heist,Technical,100.00,https://res.cloudinary.com/dwnvl9k9j/image/upload/v1774415740/25.jpg_sty2eb.jpg,false,true,Shinko Circuit,A team-based technical competition focused on electronics-based questions.,OPEN,2,2,9:30AM - 11:00AM,EC LAB,,,,,
149,2026-04-08T07:16:25.860Z,1,19,A reverse-engineering based competition where participants analyse and deconstruct a given product to determine how it functions.,Reverse Engineering,Technical,100.00,https://res.cloudinary.com/dwnvl9k9j/image/upload/v1774415743/27.jpg_q6q6ia.jpg,false,false,Takumi Breakdown,A reverse-engineering based competition where participants analyse and deconstruct a given product to determine how it functions.,OPEN,,,10:00 AM,Mechanical Workshop,,,,,
150,2026-04-08T07:16:26.172Z,1,19,A memory and observation-based team competition where participants must view images and names displayed for a limited time and accurately reproduce them.,Memoria,Technical,100.00,https://res.cloudinary.com/dwnvl9k9j/image/upload/v1774415745/29.jpg_q8ijdp.jpg,false,true,Memoria kai,A memory and observation-based team competition where participants must view images and names displayed for a limited time and accurately reproduce them.,OPEN,2,2,2:30PM - 3:30PM,301,,,,,
151,2026-04-08T07:16:26.482Z,1,19,A skill-based riding event where the rider who takes the longest time to reach the finish line without violating any rules wins.,Slow Bike Racing,Technical,100.00,https://res.cloudinary.com/dwnvl9k9j/image/upload/v1774415747/31.jpg_r4vmiw.jpg,false,false,Kame Ride,A skill-based riding event where the rider who takes the longest time to reach the finish line without violating any rules wins.,OPEN,,,10:00 AM,PARKING,,,,,
152,2026-04-08T07:16:27.055Z,1,19,A team-based engineering competition where participants design and launch water rockets to compete in distance and target accuracy challenges.,Water Rocketry,Technical,100.00,https://res.cloudinary.com/dwnvl9k9j/image/upload/v1774415749/33.jpg_xaleev.jpg,false,true,Tenshi Launch,A team-based engineering competition where participants design and launch water rockets to compete in distance and target accuracy challenges.,OPEN,4,1,10:00 AM,Ground,,,,,
153,2026-04-08T07:16:27.462Z,1,20,A time-based racing game challenge where participants compete individually to cover the maximum distance within a fixed duration while minimizing collisions.,Nautical Rides,Non-Technical,100.00,https://res.cloudinary.com/dwnvl9k9j/image/upload/v1774415752/36.jpg_xmorgx.jpg,false,false,Tokyo Drift,A time-based racing game challenge where participants compete individually to cover the maximum distance within a fixed duration while minimizing collisions.,OPEN,,,10:00 AM,303,,,,,
154,2026-04-08T07:16:27.772Z,2,20,A team-based movie guessing game where participants convey movie names using only actions and gestures.,Dumb Charades,Non-Technical,100.00,https://res.cloudinary.com/dwnvl9k9j/image/upload/v1774415766/38.jpg_icq6wn.jpg,false,true,Samurai Signals,A team-based movie guessing game where participants convey movie names using only actions and gestures.,OPEN,2,2,11:00AM - 12:00PM,406,,,,,
155,2026-04-08T07:16:28.101Z,1,20,A precision flight simulation challenge where participants must safely land an aircraft within a designated touchdown zone.,VR Flight Landing,Non-Technical,100.00,https://res.cloudinary.com/dwnvl9k9j/image/upload/v1774415758/40.jpg_qc2vzm.jpg,false,false,Tsubasa Landing,A precision flight simulation challenge where participants must safely land an aircraft within a designated touchdown zone.,OPEN,,,10:00 AM,002,,,,,
156,2026-04-08T07:16:28.450Z,1,20,A team-based mobile gaming tournament where squads compete in an on-site competitive format.,BGMI,Non-Technical,100.00,https://res.cloudinary.com/dwnvl9k9j/image/upload/v1774415757/42.jpg_lj7a4v.jpg,false,true,Bushido Battleground,A team-based mobile gaming tournament where squads compete in an on-site competitive format.,OPEN,4,2,10:15AM - 12:15PM,Auditorium,,,,,
157,2026-04-08T07:16:28.759Z,1,20,A competitive eating challenge where participants compete to consume the maximum quantity of food within a fixed time limit.,Feast Fiesta(Eating Challenge),Non-Technical,100.00,https://res.cloudinary.com/dwnvl9k9j/image/upload/v1774415755/44.jpg_zksybb.jpg,false,false,Kawaii Cravings,A competitive eating challenge where participants compete to consume the maximum quantity of food within a fixed time limit.,OPEN,,,11:00AM - 12:30PM,004,,,,,
158,2026-04-08T07:16:29.305Z,1,20,A campus-based treasure hunt where teams solve sequential clues by navigating across designated locations within the college grounds.,Treasure Hunt,Non-Technical,100.00,https://res.cloudinary.com/dwnvl9k9j/image/upload/v1774415760/46.jpg_fc8vwg.jpg,false,true,Shogun's Secret Trail,A campus-based treasure hunt where teams solve sequential clues by navigating across designated locations within the college grounds.,OPEN,5,3,1:00PM - 4:00PM,103,,,,,
159,2026-04-08T07:16:29.687Z,2,20,A geography-based observation challenge where participants identify real-world locations using visual clues from random street-level images.,Geo-Guesser,Non-Technical,100.00,https://res.cloudinary.com/dwnvl9k9j/image/upload/v1774415762/48.jpg_eoz59z.jpg,false,false,Meiro Map,A geography-based observation challenge where participants identify real-world locations using visual clues from random street-level images.,OPEN,,,9:30AM - 10:30AM,AI&DS LAB,,,,,
160,2026-04-08T07:16:30.013Z,1,20,A competitive Battle Royale tournament where squads compete against each other to be the last team standing.,Free Fire,Non-Technical,100.00,https://res.cloudinary.com/dwnvl9k9j/image/upload/v1774415765/50.jpg_gcemrl.jpg,false,true,Samurai Survival,A competitive Battle Royale tournament where squads compete against each other to be the last team standing.,OPEN,4,4,10:15AM - 12:15PM,401 & 402,,,,,
161,2026-04-08T07:16:30.353Z,1,20,"An anime-themed quiz competition where teams compete across multiple rounds to test their knowledge of characters, series, dialogues and scenes.",Anime Quiz,Non-Technical,100.00,https://res.cloudinary.com/dwnvl9k9j/image/upload/v1774415766/52.jpg_r8dsdm.jpg,false,true,Sakura Saga Quiz,"An anime-themed quiz competition where teams compete across multiple rounds to test their knowledge of characters, series, dialogues and scenes.",OPEN,2,2,11:00AM - 1:00PM,SSOSC,,,,,